Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Philippines,PHL,2015,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,29.9
Philippines,PHL,2009,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,32.7
Philippines,PHL,2015,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,69.2
Philippines,PHL,2009,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,69.4
Philippines,PHL,2019,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.8929061889648
Philippines,PHL,2015,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.266731262207
Philippines,PHL,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.8154296875
Philippines,PHL,2008,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.4915237426758
Philippines,PHL,2003,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,96.5805892944336
Philippines,PHL,2000,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,95.7202835083008
Philippines,PHL,1994,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,96.2819366455078
Philippines,PHL,1990,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,96.8777389526367
Philippines,PHL,1980,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,92.4690322875977
Philippines,PHL,2019,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.01006996631622
Philippines,PHL,2015,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.00364995002747
Philippines,PHL,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.0140700340271
Philippines,PHL,2008,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.01494002342224
Philippines,PHL,2003,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.03109002113342
Philippines,PHL,2000,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.01318001747131
Philippines,PHL,1994,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.00484001636505
Philippines,PHL,1990,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.00619995594025
Philippines,PHL,1980,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.01520001888275
Philippines,PHL,2019,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,97.8973083496094
Philippines,PHL,2015,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,98.9041519165039
Philippines,PHL,2013,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,97.4254302978516
Philippines,PHL,2008,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,97.0199508666992
